call_addr	protocol_id	size	function	source
0x1801719ee	0x008A	?	KPlayerClient::DoCorpsCreateRequest	JX3LogicEditOperationX64.dll
0x180171a4e	0x00F3	?	KPlayerClient::DoCorpsCreateRequest	JX3LogicEditOperationX64.dll
0x180171acd	0x005B	?	KPlayerClient::DoDelFellowshipRequest	JX3LogicEditOperationX64.dll
0x180171b71	0x0056	?	KPlayerClient::DoDelFellowshipRequest	JX3LogicEditOperationX64.dll
0x180171c2b	0x0134	0x2B	KPlayerClient::DoDeleteBuyItemOrderData	JX3LogicEditOperationX64.dll
0x180171cc1	0x0148	?	KPlayerClient::DoDeleteCoinShopCartInfo	JX3LogicEditOperationX64.dll
0x180171d51	0x0145	?	KPlayerClient::DoDeleteCoinShopPresetInfo	JX3LogicEditOperationX64.dll
0x180171dde	0x006A	?	KPlayerClient::DoDeleteCoinShopPresetInfo	JX3LogicEditOperationX64.dll
0x180171e47	0x01B1	?	KPlayerClient::DoDeleteMysteryPendant	JX3LogicEditOperationX64.dll
0x180171edc	0x00C8	0xF	KPlayerClient::DoDeletePeerPayRequest	JX3LogicEditOperationX64.dll
0x180171f78	0x0053	?	KPlayerClient::DoDeletePeerPayRequest	JX3LogicEditOperationX64.dll
0x180171fcd	0x017F	0x13	KPlayerClient::DoDoInnerChargeRequest	JX3LogicEditOperationX64.dll
0x18017205a	0x00EC	?	KPlayerClient::DoDoInnerChargeRequest	JX3LogicEditOperationX64.dll
0x1801720b8	0x00EB	?	KPlayerClient::DoDoInnerChargeRequest	JX3LogicEditOperationX64.dll
0x180172113	0x00E9	?	KPlayerClient::DoDoInnerChargeRequest	JX3LogicEditOperationX64.dll
0x180172173	0x00EA	?	KPlayerClient::DoDoInnerChargeRequest	JX3LogicEditOperationX64.dll
0x1801721e7	0x01C3	0x16	KPlayerClient::DoDownloadShowCardImageRequest	JX3LogicEditOperationX64.dll
0x180172323	0x0166	?	KPlayerClient::DoDungeonServerTransferMessage	JX3LogicEditOperationX64.dll
0x1801723aa	0x006F	?	KPlayerClient::DoDungeonServerTransferMessage	JX3LogicEditOperationX64.dll
0x1801723fc	0x01AD	0xF	KPlayerClient::DoEnableIgnoreGravity	JX3LogicEditOperationX64.dll
0x1801724a1	0x0055	?	KPlayerClient::DoEnableIgnoreGravity	JX3LogicEditOperationX64.dll
0x1801724fd	0x01E3	0xD	KPlayerClient::DoEquipDesignationDecorationRequest	JX3LogicEditOperationX64.dll
0x18017258c	0x0136	0xF	KPlayerClient::DoEquipHorseEquipRequest	JX3LogicEditOperationX64.dll
0x18017261f	0x0045	?	KPlayerClient::DoEquipHorseRequest	JX3LogicEditOperationX64.dll
0x1801726ad	0x01B5	0xD	KPlayerClient::DoEquipMysteryPendant	JX3LogicEditOperationX64.dll
0x1801727b5	0x019C	?	KPlayerClient::DoEquipNpcExteriorRequest	JX3LogicEditOperationX64.dll
0x18017284c	0x00CD	0xF	KPlayerClient::DoExchangeCoinToTimeRequest	JX3LogicEditOperationX64.dll
0x180172909	0x00A7	0x17	KPlayerClient::DoExchangeTongRepertoryItemPosRequest	JX3LogicEditOperationX64.dll
0x1801729a2	0x01E5	?	KPlayerClient::DoFaceLiftDeleteRequest	JX3LogicEditOperationX64.dll
0x180172a97	0x00DF	?	KPlayerClient::DoFaceLiftDeleteRequest	JX3LogicEditOperationX64.dll
0x180172b1d	0x00E2	0xD	KPlayerClient::DoFaceLiftDeleteRequest	JX3LogicEditOperationX64.dll
0x180172bad	0x00E1	0xD	KPlayerClient::DoFaceLiftEquipRequest	JX3LogicEditOperationX64.dll
0x180172c5e	0x00ED	?	KPlayerClient::DoFaceLiftEquipRequest	JX3LogicEditOperationX64.dll
